step,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,lr
1,0.4219353013343782,0.4303505235023469,0.31112776192317304,0.3997868001461029,0.5323190093040466,0.4019322991371155,1e-05
2,0.30001816348838367,0.6668070790945978,0.5477797376622396,0.3013949990272522,0.7524714469909668,0.6266819834709167,0.000208
3,0.22390253027310808,0.7688942514388674,0.6622080424241865,0.3127029538154602,0.7324000597000122,0.5978805422782898,0.000406
4,0.17758871724077988,0.8096823357763709,0.7121428825713711,0.252099871635437,0.7703567147254944,0.6444762945175171,0.000604
5,0.1456379107355428,0.8329471979310352,0.7416437571105722,0.21772101521492004,0.8073764443397522,0.7044457793235779,0.000802
6,0.12961409693051046,0.8451283292395386,0.7579167762350466,0.15163150429725647,0.8509713411331177,0.7563841342926025,0.000802
7,0.11951079732561075,0.852164675110381,0.7679252389218133,0.13338510692119598,0.8693304061889648,0.7902176976203918,0.000802
8,0.11441711875780233,0.858311305343875,0.7757613447508448,0.12929558753967285,0.8780564665794373,0.7997682690620422,0.000802
9,0.10848667149187145,0.8636851990875503,0.7837510414094123,0.11443395912647247,0.8817331790924072,0.8034231662750244,0.000802
10,0.1077855841049159,0.863972051380778,0.7840120937609176,0.1155642420053482,0.8880972862243652,0.8131066560745239,0.000802
11,0.1024396347834132,0.8688018698828351,0.7906549669911334,0.10575958341360092,0.8890441656112671,0.811694324016571,0.000802
12,0.09959221989169154,0.8715701283357101,0.7940967533343924,0.11892139166593552,0.8721024990081787,0.784516453742981,0.000802
13,0.09948048962936461,0.8726295347662274,0.7962134250237929,0.09697652608156204,0.903687596321106,0.8391150236129761,0.000802
14,0.10092959591491275,0.8707910477425745,0.7946384638754699,0.11123809218406677,0.8963241577148438,0.8299782872200012,0.000802
15,0.09723987630816175,0.8728125255293541,0.7963472864861294,0.1087699681520462,0.8960323929786682,0.8274428844451904,0.000802
16,0.09327894738755414,0.8778262583218636,0.8029691597637802,0.09824372828006744,0.9003795981407166,0.8302874565124512,0.000802
17,0.09309614816811237,0.876873984002295,0.8017584272044939,0.10975779592990875,0.8954885601997375,0.8253507614135742,0.000802
18,0.09073955018242782,0.8805095110843985,0.8069804624676612,0.1019803136587143,0.892221987247467,0.8160160779953003,0.000802
19,0.08833681958036048,0.8827088002342395,0.810075902534432,0.1065744012594223,0.8990212678909302,0.8324449062347412,0.000802
20,0.08370757158113243,0.8888356511006469,0.818527977560333,0.11437861621379852,0.8896757364273071,0.8158187866210938,0.000401
21,0.08450034074628913,0.8876854389928908,0.817526356293407,0.13946276903152466,0.8780873417854309,0.8018783926963806,0.000401
22,0.08251057207906072,0.8894431026696975,0.8200372565040794,0.12530356645584106,0.8759937882423401,0.795096218585968,0.000401
23,0.08112785020238543,0.8902557273047101,0.8210721218135602,0.11479701101779938,0.8826956152915955,0.8044867515563965,0.000401
