step,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,lr
1,0.22272738349437712,0.8447612553834916,0.7596475989222526,0.11185870710723177,0.9264720236350914,0.8745984388682657,0.0002
2,0.11860429844260216,0.9051767859458923,0.8408453783988953,0.0872064984650788,0.9311326366222785,0.8808875344470589,0.0002
3,0.09618493503332139,0.9118434998989106,0.8516706264019013,0.07197624222633843,0.9363533539210489,0.8888230543888496,0.0002
4,0.08749663855135441,0.9165100080966949,0.8579605243206024,0.0671415451631515,0.939591992460563,0.8934749471927117,0.0002
5,0.08445459599792958,0.9183293924331665,0.860639374256134,0.06497080892532647,0.9371785995013223,0.8893286181900077,0.0002
6,0.0794420605301857,0.9221659243106842,0.8659476580619812,0.06626651008908976,0.9367228076605502,0.8893840515209054,0.0002
7,0.07655899538099765,0.9242732365131379,0.8691683709621429,0.05935435654770233,0.9431587705712119,0.9007392432280406,0.0002
8,0.07533777050673962,0.9253597033023834,0.8711027767658234,0.06038920009162969,0.9409014187054244,0.8966229453891099,0.0002
9,0.07421771357953548,0.9262263576984405,0.8720280392169952,0.05820893369867892,0.9439967614923884,0.9012707313615643,0.0002
10,0.07415113717317581,0.9263099792003632,0.8724199066162109,0.06130296850721993,0.9390025401781658,0.8937221838685567,0.0002
11,0.07249097463488578,0.9265348122119904,0.8726365766525268,0.0609034611443857,0.9401408266164586,0.8952709183007658,0.0002
12,0.07104545682668686,0.928359325170517,0.8754447836875916,0.05692687095654106,0.9445668808714358,0.9021829296490865,0.0002
13,0.07062632831931114,0.9290956540107727,0.8763199136257172,0.056398307596019166,0.9439006960558558,0.9008301594657099,0.0002
14,0.0692637180685997,0.930017961025238,0.8778750822544098,0.055449908201447025,0.9451695920940407,0.903307133805966,0.0002
15,0.06935871379077435,0.9304873449802399,0.8785234694480896,0.056003640548971126,0.9455808570047101,0.903855893545284,0.0002
16,0.06948373331129551,0.9302335617542267,0.8781651744842529,0.05897193678660307,0.9409219052739248,0.8979130226100038,0.0002
17,0.0675796215236187,0.9320395224094391,0.8809286506175995,0.057870615225381956,0.942542089376145,0.8984386270750544,0.0002
18,0.06787502394616604,0.9320638871192932,0.8810625438690185,0.056211805469291415,0.944888526451088,0.9030460410132379,0.0002
19,0.0689342128187418,0.9304346079826356,0.8788886442184448,0.0557578620900532,0.9440892776567303,0.9016507173964601,0.0002
20,0.06579894195497037,0.9335603108406066,0.8830162739753723,0.05558986045390427,0.9448041881986721,0.9023627376485014,0.0002
21,0.06582591673731804,0.9328329522609711,0.8821795823574066,0.05368968671905305,0.9459748564960951,0.9040346808300285,0.0002
22,0.0690327519029379,0.9306083161830903,0.8787514450550079,0.05441035724759934,0.944646690955419,0.9021990723357705,0.0002
23,0.06637706877291202,0.93251682305336,0.8817495069503785,0.06014583441995813,0.9396917900282465,0.8942962542265475,0.0002
24,0.067867652207613,0.9310775611400605,0.879965552330017,0.05224126290358945,0.9477066422650914,0.906941394665522,0.0002
