metric,mean,std,min,max,median
train_loss,0.06465187416550978,0.022174888198235047,0.051260013401508334,0.22272738349437712,0.058701421916484836
train_dice,0.9356800377990159,0.014084221528307935,0.8447612553834916,0.9468237943649292,0.9395148241519928
train_iou,0.8865774798787815,0.020235183287847937,0.7596475989222526,0.9032643342018127,0.8924013466835022
val_loss,0.05522212868677394,0.009016644819097933,0.04949555575044569,0.11185870710723177,0.05192663395654656
val_dice,0.9466049339000069,0.0049182144308781255,0.9264720236350914,0.9510286086333726,0.9488469842903152
val_iou,0.9055710930144435,0.00788533360230117,0.8745984388682657,0.9128109649745766,0.9093473260988019
lr,0.00010985915492957747,8.005047628974754e-05,1.25e-05,0.0002,0.0001
