step,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,lr
1,0.33891858235001565,0.617298717610538,0.49286745991557834,0.23674802482128143,0.7564517855644226,0.6367892324924469,1.0800000000000002e-05
2,0.27190285343676807,0.7040960855782032,0.5825668293982744,0.2066548988223076,0.7903186678886414,0.6754765510559082,2.0600000000000003e-05
3,0.23530093096196653,0.7334450632333755,0.6168120563030243,0.190872922539711,0.801148384809494,0.6884695887565613,3.0400000000000004e-05
4,0.20205671954900026,0.7650819845497608,0.6530020058155059,0.17634110152721405,0.8096958994865417,0.6994177103042603,4.02e-05
5,0.18215512055903674,0.785731079429388,0.6745592646300793,0.14424172043800354,0.8405692875385284,0.7401551902294159,5e-05
6,0.17243527956306934,0.7977948151528835,0.6894439719617367,0.15571697801351547,0.8292275369167328,0.7252725064754486,5e-05
7,0.15995760224759578,0.8103372469544411,0.7060008935630322,0.12493403255939484,0.863813191652298,0.775181233882904,4.9990858590916816e-05
8,0.15969150196760892,0.8138644322752953,0.7097385056316853,0.12695416063070297,0.8621789515018463,0.7738634347915649,4.9963441185329286e-05
9,0.14775420101359488,0.82548783197999,0.7246539495885372,0.12373140454292297,0.8631523251533508,0.7747587561607361,4.991776824313298e-05
10,0.14544185865670442,0.828094707429409,0.7283445827662944,0.1192731074988842,0.8682960271835327,0.7791111171245575,4.985387384718899e-05
11,0.14038281152024865,0.833937268704176,0.7357579573988915,0.11049165204167366,0.8858177959918976,0.8042118549346924,4.977180567789011e-05
12,0.13817868046462536,0.8358985595405102,0.7383540645241737,0.11904441565275192,0.8682529926300049,0.7810615301132202,4.967162497757986e-05
13,0.13556472333148123,0.8390757866203785,0.742881105095148,0.11838745698332787,0.8724310100078583,0.7853261232376099,4.9553406504851195e-05
14,0.13472713045775891,0.8418652839958668,0.746525289863348,0.10496312752366066,0.8881288170814514,0.8101493418216705,4.9417238478758854e-05
15,0.1306797882542014,0.8464608557522297,0.7523227721452713,0.11614424362778664,0.8732261955738068,0.7871013283729553,4.926322251298696e-05
16,0.13161121793091296,0.847290713340044,0.7538408458232879,0.12667422741651535,0.8615341782569885,0.7660905718803406,4.9091473540021094e-05
17,0.12905298536643386,0.8481506876647472,0.7549393452703953,0.11653611063957214,0.8702773153781891,0.784127414226532,4.890211972538139e-05
18,0.12684724191203714,0.8520192496478558,0.759955482184887,0.10414111241698265,0.8884252309799194,0.8105806112289429,4.8695302371980583e-05
19,0.12283240873366594,0.8550708077847957,0.7644194073975086,0.11436406150460243,0.8750253617763519,0.7897429466247559,4.8471175814678514e-05
20,0.122289121709764,0.856469065696001,0.7666985467076302,0.10747187212109566,0.8871586918830872,0.8076296150684357,4.822990730511163e-05
21,0.12289788872003556,0.8547498509287834,0.7637934975326062,0.1178564541041851,0.872291088104248,0.7908147871494293,4.797167688688361e-05
22,0.12093244958668947,0.8586470916867256,0.7689351171255112,0.11504190415143967,0.8778086304664612,0.7941013872623444,4.769667726121002e-05
23,0.12134638400748372,0.8584411293268204,0.7687244698405266,0.11614450067281723,0.8729603290557861,0.7871851325035095,4.740511364311746e-05
24,0.11714046113193036,0.860690814256668,0.772050491720438,0.11385277658700943,0.8787005841732025,0.7972969114780426,4.7097203608304465e-05
25,0.11769785061478615,0.8624189555644989,0.7743280291557312,0.12399732694029808,0.8700882196426392,0.7829587757587433,4.6773176930778284e-05
26,0.11680438024923205,0.862083075940609,0.7734546266496182,0.11496969684958458,0.8782158195972443,0.7966267764568329,4.6433275411388974e-05
27,0.11593901319429278,0.8626677364110946,0.7756435930728912,0.11902737617492676,0.8755543231964111,0.7919845581054688,4.6077752697388514e-05
28,0.11512693306431174,0.8639662086963653,0.7762886047363281,0.11961313709616661,0.874998152256012,0.789630800485611,4.570687409314973e-05
